# nccl-tests version 2.17.9 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 150219 on       g138 device  0 [0000:19:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid 150219 on       g138 device  1 [0000:3b:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid 150219 on       g138 device  2 [0000:4c:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid 150219 on       g138 device  3 [0000:5d:00] NVIDIA H100 80GB HBM3
#  Rank  4 Group  0 Pid 150219 on       g138 device  4 [0000:9b:00] NVIDIA H100 80GB HBM3
#  Rank  5 Group  0 Pid 150219 on       g138 device  5 [0000:bb:00] NVIDIA H100 80GB HBM3
#  Rank  6 Group  0 Pid 150219 on       g138 device  6 [0000:cb:00] NVIDIA H100 80GB HBM3
#  Rank  7 Group  0 Pid 150219 on       g138 device  7 [0000:db:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    33.18    0.00    0.00       0    32.55    0.00    0.00       0
          16             4     float     sum      -1    32.76    0.00    0.00       0    32.35    0.00    0.00       0
          32             8     float     sum      -1    32.76    0.00    0.00       0    32.61    0.00    0.00       0
          64            16     float     sum      -1    33.23    0.00    0.00       0    32.78    0.00    0.00       0
         128            32     float     sum      -1    33.27    0.00    0.01       0    32.79    0.00    0.01       0
         256            64     float     sum      -1    33.01    0.01    0.01       0    33.11    0.01    0.01       0
         512           128     float     sum      -1    33.50    0.02    0.03       0    32.88    0.02    0.03       0
        1024           256     float     sum      -1    33.36    0.03    0.05       0    32.82    0.03    0.05       0
        2048           512     float     sum      -1    33.44    0.06    0.11       0    32.89    0.06    0.11       0
        4096          1024     float     sum      -1    33.19    0.12    0.22       0    33.09    0.12    0.22       0
        8192          2048     float     sum      -1    33.09    0.25    0.43       0    33.48    0.24    0.43       0
       16384          4096     float     sum      -1    32.95    0.50    0.87       0    33.02    0.50    0.87       0
       32768          8192     float     sum      -1    32.74    1.00    1.75       0    33.05    0.99    1.74       0
       65536         16384     float     sum      -1    33.62    1.95    3.41       0    33.44    1.96    3.43       0
      131072         32768     float     sum      -1    34.26    3.83    6.69       0    34.16    3.84    6.71       0
      262144         65536     float     sum      -1    35.05    7.48   13.09       0    35.14    7.46   13.06       0
      524288        131072     float     sum      -1    36.97   14.18   24.82       0    37.19   14.10   24.67       0
     1048576        262144     float     sum      -1    38.74   27.07   47.37       0    38.95   26.92   47.11       0
     2097152        524288     float     sum      -1    43.23   48.51   84.89       0    43.21   48.53   84.93       0
     4194304       1048576     float     sum      -1    55.70   75.30  131.77       0    55.43   75.67  132.42       0
     8388608       2097152     float     sum      -1    84.47   99.31  173.79       0    83.72  100.20  175.36       0
    16777216       4194304     float     sum      -1   125.88  133.28  233.25       0   125.05  134.16  234.79       0
    33554432       8388608     float     sum      -1   200.39  167.44  293.02       0   200.46  167.39  292.93       0
    67108864      16777216     float     sum      -1   328.56  204.25  357.44       0   328.70  204.16  357.29       0
   134217728      33554432     float     sum      -1   588.39  228.11  399.19       0   587.87  228.31  399.55       0
   268435456      67108864     float     sum      -1  1112.19  241.36  422.38       0  1112.59  241.27  422.22       0
   536870912     134217728     float     sum      -1  2152.91  249.37  436.40       0  2153.45  249.31  436.29       0
  1073741824     268435456     float     sum      -1  4010.54  267.73  468.53       0  4010.08  267.76  468.58       0
  2147483648     536870912     float     sum      -1  7918.12  271.21  474.62       0  7916.85  271.25  474.70       0
  4294967296    1073741824     float     sum      -1  15753.1  272.64  477.12       0  15755.2  272.61  477.06       0
  8589934592    2147483648     float     sum      -1  31335.8  274.13  479.72       0  31348.2  274.02  479.53       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 146.211 
#
# Collective test concluded: all_reduce_perf
#

