# nccl-tests version 2.17.9 nccl-headers=22403 nccl-library=22403
# Collective test starting: broadcast_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 150647 on       g138 device  0 [0000:19:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid 150647 on       g138 device  1 [0000:3b:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid 150647 on       g138 device  2 [0000:4c:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid 150647 on       g138 device  3 [0000:5d:00] NVIDIA H100 80GB HBM3
#  Rank  4 Group  0 Pid 150647 on       g138 device  4 [0000:9b:00] NVIDIA H100 80GB HBM3
#  Rank  5 Group  0 Pid 150647 on       g138 device  5 [0000:bb:00] NVIDIA H100 80GB HBM3
#  Rank  6 Group  0 Pid 150647 on       g138 device  6 [0000:cb:00] NVIDIA H100 80GB HBM3
#  Rank  7 Group  0 Pid 150647 on       g138 device  7 [0000:db:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float    none       0    46.00    0.00    0.00       0    47.05    0.00    0.00       0
          16             4     float    none       0    47.08    0.00    0.00       0    47.13    0.00    0.00       0
          32             8     float    none       0    47.08    0.00    0.00       0    47.19    0.00    0.00       0
          64            16     float    none       0    47.12    0.00    0.00       0    47.10    0.00    0.00       0
         128            32     float    none       0    47.08    0.00    0.00       0    47.16    0.00    0.00       0
         256            64     float    none       0    47.11    0.01    0.01       0    47.13    0.01    0.01       0
         512           128     float    none       0    75.19    0.01    0.01       0    75.22    0.01    0.01       0
        1024           256     float    none       0   132.11    0.01    0.01       0   132.08    0.01    0.01       0
        2048           512     float    none       0   258.97    0.01    0.01       0   243.44    0.01    0.01       0
        4096          1024     float    none       0   259.96    0.02    0.02       0   244.27    0.02    0.02       0
        8192          2048     float    none       0   486.78    0.02    0.02       0   455.33    0.02    0.02       0
       16384          4096     float    none       0    37.33    0.44    0.44       0   487.53    0.03    0.03       0
       32768          8192     float    none       0   471.43    0.07    0.07       0   942.06    0.03    0.03       0
       65536         16384     float    none       0   929.10    0.07    0.07       0   884.63    0.07    0.07       0
      131072         32768     float    none       0   266.22    0.49    0.49       0   271.17    0.48    0.48       0
      262144         65536     float    none       0   268.35    0.98    0.98       0   143.06    1.83    1.83       0
      524288        131072     float    none       0   879.36    0.60    0.60       0    84.04    6.24    6.24       0
     1048576        262144     float    none       0   156.97    6.68    6.68       0   180.81    5.80    5.80       0
     2097152        524288     float    none       0   293.36    7.15    7.15       0   323.88    6.48    6.48       0
     4194304       1048576     float    none       0   275.81   15.21   15.21       0   785.64    5.34    5.34       0
     8388608       2097152     float    none       0    59.10  141.93  141.93       0    60.79  137.99  137.99       0
    16777216       4194304     float    none       0   733.04   22.89   22.89       0   567.23   29.58   29.58       0
    33554432       8388608     float    none       0   523.65   64.08   64.08       0   625.49   53.65   53.65       0
    67108864      16777216     float    none       0   726.08   92.43   92.43       0   385.64  174.02  174.02       0
   134217728      33554432     float    none       0   630.55  212.86  212.86       0  1396.49   96.11   96.11       0
   268435456      67108864     float    none       0  2406.40  111.55  111.55       0  2938.10   91.36   91.36       0
   536870912     134217728     float    none       0  4964.97  108.13  108.13       0  4254.75  126.18  126.18       0
  1073741824     268435456     float    none       0  8207.36  130.83  130.83       0  6941.28  154.69  154.69       0
  2147483648     536870912     float    none       0  13404.0  160.21  160.21       0  13554.3  158.44  158.44       0
  4294967296    1073741824     float    none       0  32540.3  131.99  131.99       0  34419.7  124.78  124.78       0
  8589934592    2147483648     float    none       0   179410   47.88   47.88       0  89228.2   96.27   96.27       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 40.7414 
#
# Collective test concluded: broadcast_perf
#

