# nccl-tests version 2.17.9 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_gather_perf
# nThread 1 nGpus 8 minBytes 8 maxBytes 8589934592 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 150563 on       g138 device  0 [0000:19:00] NVIDIA H100 80GB HBM3
#  Rank  1 Group  0 Pid 150563 on       g138 device  1 [0000:3b:00] NVIDIA H100 80GB HBM3
#  Rank  2 Group  0 Pid 150563 on       g138 device  2 [0000:4c:00] NVIDIA H100 80GB HBM3
#  Rank  3 Group  0 Pid 150563 on       g138 device  3 [0000:5d:00] NVIDIA H100 80GB HBM3
#  Rank  4 Group  0 Pid 150563 on       g138 device  4 [0000:9b:00] NVIDIA H100 80GB HBM3
#  Rank  5 Group  0 Pid 150563 on       g138 device  5 [0000:bb:00] NVIDIA H100 80GB HBM3
#  Rank  6 Group  0 Pid 150563 on       g138 device  6 [0000:cb:00] NVIDIA H100 80GB HBM3
#  Rank  7 Group  0 Pid 150563 on       g138 device  7 [0000:db:00] NVIDIA H100 80GB HBM3
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0     float    none      -1     1.57    0.00    0.00       0     1.58    0.00    0.00       0
           0             0     float    none      -1     1.60    0.00    0.00       0     1.59    0.00    0.00       0
           0             0     float    none      -1     1.61    0.00    0.00       0     1.60    0.00    0.00       0
           0             0     float    none      -1     1.61    0.00    0.00       0     1.62    0.00    0.00       0
         128             4     float    none      -1  4182.76    0.00    0.00       0    33.01    0.00    0.00       0
         256             8     float    none      -1    38.68    0.01    0.01       0    51.01    0.01    0.00       0
         512            16     float    none      -1    51.00    0.01    0.01       0    50.73    0.01    0.01       0
        1024            32     float    none      -1    51.02    0.02    0.02       0    50.89    0.02    0.02       0
        2048            64     float    none      -1    51.24    0.04    0.03       0    50.98    0.04    0.04       0
        4096           128     float    none      -1    46.42    0.09    0.08       0    51.02    0.08    0.07       0
        8192           256     float    none      -1    51.37    0.16    0.14       0    51.11    0.16    0.14       0
       16384           512     float    none      -1    51.77    0.32    0.28       0    51.60    0.32    0.28       0
       32768          1024     float    none      -1    53.95    0.61    0.53       0    53.54    0.61    0.54       0
       65536          2048     float    none      -1    54.16    1.21    1.06       0    53.69    1.22    1.07       0
      131072          4096     float    none      -1    54.30    2.41    2.11       0    92.85    1.41    1.24       0
      262144          8192     float    none      -1   136.10    1.93    1.69       0   257.63    1.02    0.89       0
      524288         16384     float    none      -1   265.15    1.98    1.73       0   267.67    1.96    1.71       0
     1048576         32768     float    none      -1   265.86    3.94    3.45       0    44.83   23.39   20.47       0
     2097152         65536     float    none      -1    51.07   41.07   35.93       0   873.89    2.40    2.10       0
     4194304        131072     float    none      -1   885.50    4.74    4.14       0   890.22    4.71    4.12       0
     8388608        262144     float    none      -1   923.11    9.09    7.95       0   896.99    9.35    8.18       0
    16777216        524288     float    none      -1   921.90   18.20   15.92       0   867.49   19.34   16.92       0
    33554432       1048576     float    none      -1   990.23   33.89   29.65       0   874.00   38.39   33.59       0
    67108864       2097152     float    none      -1  1149.14   58.40   51.10       0  1070.18   62.71   54.87       0
   134217728       4194304     float    none      -1  1851.89   72.48   63.42       0  2264.74   59.26   51.86       0
   268435456       8388608     float    none      -1  1282.85  209.25  183.09       0  2442.28  109.91   96.17       0
   536870912      16777216     float    none      -1  5476.67   98.03   85.78       0  4526.78  118.60  103.77       0
  1073741824      33554432     float    none      -1  8799.10  122.03  106.77       0  8642.70  124.24  108.71       0
  2147483648      67108864     float    none      -1  16209.9  132.48  115.92       0  13511.2  158.94  139.07       0
  4294967296     134217728     float    none      -1  32367.5  132.69  116.11       0  29253.8  146.82  128.47       0
  8589934592     268435456     float    none      -1   177640   48.36   42.31       0   121096   70.93   62.07       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 27.5097 
#
# Collective test concluded: all_gather_perf
#

