[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA H100 80GB HBM3
 Shmoo Mode

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.7
   2000				1.5
   3000				2.2
   4000				2.9
   5000				3.7
   6000				4.4
   7000				5.0
   8000				5.8
   9000				6.6
   10000			7.2
   11000			8.1
   12000			9.0
   13000			9.5
   14000			10.4
   15000			11.1
   16000			11.9
   17000			12.5
   18000			13.1
   19000			14.1
   20000			14.8
   22000			16.2
   24000			17.5
   26000			19.4
   28000			22.4
   30000			24.1
   32000			24.9
   34000			27.2
   36000			29.0
   38000			30.3
   40000			32.1
   42000			33.9
   44000			35.5
   46000			37.0
   48000			38.6
   50000			39.4
   60000			48.7
   70000			56.1
   80000			64.1
   90000			70.7
   100000			79.7
   200000			160.0
   300000			243.2
   400000			319.3
   500000			402.2
   600000			473.1
   700000			538.3
   800000			613.0
   900000			652.6
   1000000			716.9
   2000000			766.4
   3000000			1084.5
   4000000			1372.7
   5000000			1567.3
   6000000			1822.1
   7000000			2041.3
   8000000			2247.2
   9000000			2407.6
   10000000			2552.6
   11000000			2731.9
   12000000			2858.0
   13000000			2903.4
   14000000			2849.9
   15000000			2911.9
   16000000			2814.7
   18000000			2535.8
   20000000			2192.1
   22000000			1971.4
   24000000			1958.2
   26000000			1983.9
   28000000			2013.5
   30000000			2045.0
   32000000			2075.6
   36000000			2127.0
   40000000			2168.4
   44000000			2211.2
   48000000			2242.7
   52000000			2263.5
   56000000			2286.8
   60000000			2309.5
   64000000			2442.0
   68000000			2352.4
   
Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
