[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA H100 80GB HBM3
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.4
   2000				0.6
   3000				1.1
   4000				1.4
   5000				1.7
   6000				2.1
   7000				2.4
   8000				2.7
   9000				3.1
   10000			3.4
   11000			3.8
   12000			4.1
   13000			4.4
   14000			4.7
   15000			4.7
   16000			5.3
   17000			5.4
   18000			5.9
   19000			5.9
   20000			6.3
   22000			6.8
   24000			7.3
   26000			7.9
   28000			8.4
   30000			9.0
   32000			9.4
   34000			10.5
   36000			10.9
   38000			11.4
   40000			11.8
   42000			11.9
   44000			12.3
   46000			12.9
   48000			13.2
   50000			13.8
   60000			15.3
   70000			18.1
   80000			19.6
   90000			21.1
   100000			21.6
   200000			31.9
   300000			37.0
   400000			40.5
   500000			42.9
   600000			44.6
   700000			45.8
   800000			46.8
   900000			47.6
   1000000			47.5
   2000000			51.1
   3000000			52.5
   4000000			53.1
   5000000			53.5
   6000000			53.8
   7000000			54.1
   8000000			54.2
   9000000			54.3
   10000000			54.4
   11000000			54.5
   12000000			54.6
   13000000			54.6
   14000000			54.7
   15000000			54.7
   16000000			54.7
   18000000			54.8
   20000000			54.8
   22000000			54.8
   24000000			54.7
   26000000			54.7
   28000000			54.6
   30000000			54.5
   32000000			54.6
   36000000			54.5
   40000000			54.4
   44000000			54.3
   48000000			54.2
   52000000			54.0
   56000000			54.0
   60000000			54.0
   64000000			53.9
   68000000			53.8

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.4
   2000				0.8
   3000				1.2
   4000				1.6
   5000				2.0
   6000				2.4
   7000				2.8
   8000				3.2
   9000				3.6
   10000			3.9
   11000			4.4
   12000			4.7
   13000			5.1
   14000			5.5
   15000			5.9
   16000			6.2
   17000			6.5
   18000			6.9
   19000			7.2
   20000			7.5
   22000			8.1
   24000			8.6
   26000			9.1
   28000			9.7
   30000			10.4
   32000			10.9
   34000			11.6
   36000			12.1
   38000			12.5
   40000			12.8
   42000			13.2
   44000			13.6
   46000			13.9
   48000			14.1
   50000			14.5
   60000			16.7
   70000			18.6
   80000			20.3
   90000			21.6
   100000			22.8
   200000			32.1
   300000			36.8
   400000			40.2
   500000			42.5
   600000			44.4
   700000			45.6
   800000			46.6
   900000			46.8
   1000000			46.3
   2000000			29.2
   3000000			30.1
   4000000			25.4
   5000000			25.0
   6000000			24.1
   7000000			23.0
   8000000			22.6
   9000000			22.3
   10000000			21.8
   11000000			22.6
   12000000			21.8
   13000000			21.6
   14000000			21.2
   15000000			21.2
   16000000			20.9
   18000000			20.9
   20000000			20.9
   22000000			20.8
   24000000			20.7
   26000000			20.6
   28000000			20.6
   30000000			20.6
   32000000			20.5
   36000000			20.6
   40000000			20.5
   44000000			20.5
   48000000			20.5
   52000000			20.5
   56000000			20.5
   60000000			20.5
   64000000			20.5
   68000000			20.5

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
